ts	id	op	images	exit	seconds
2026-09-15T23:03:09.031Z	lorien/01	image_gen	1	0	30.3
2026-09-15T23:04:06.354Z	aquarium/01	image_gen	1	0	36.5
2026-09-15T23:04:10.349Z	mission-control/01	image_gen	1	0	40.5
2026-09-15T23:04:11.103Z	bruegel/01	image_gen	1	0	41.3
2026-09-15T23:04:12.346Z	night-city/01	image_gen	1	0	42.5
2026-09-15T23:04:42.240Z	isometric-office/01	image_gen	1	0	35.9
2026-09-15T23:06:07.778Z	01.jpg	readback	0	0	31.1
2026-09-15T23:06:42.105Z	01.jpg	readback	0	0	34.2
2026-09-15T23:07:26.886Z	01.jpg	readback	0	0	110.2
2026-09-15T23:07:42.413Z	01.jpg	readback	0	0	60.2
2026-09-15T23:08:13.864Z	01.jpg	readback	0	0	157.2
2026-09-15T23:09:04.044Z	01.jpg	readback	0	0	47.5
2026-09-15T23:10:35.986Z	01.jpg	readback	0	0	188.9
2026-09-15T23:10:38.225Z	01.jpg	readback	0	0	141.7
2026-09-15T23:10:38.806Z	01.jpg	readback	0	0	94.6
2026-09-15T23:10:39.988Z	01.jpg	readback	0	0	143.4
2026-09-15T23:12:38.639Z	01.jpg	readback	0	0	120.3
2026-09-15T23:12:40.703Z	01.jpg	readback	0	0	121.8
